t_s,D_compressed_um,D_extended_um,eps_axial_pct,sigma_on
4.435484,196.2598,201.8701,1.870121,0
4.444861,196.2633,201.8684,1.868368,0
4.454239,196.2668,201.8666,1.866617,0
4.463616,196.2703,201.8649,1.864867,0
4.472993,196.2738,201.8631,1.863119,0
4.482371,196.2773,201.8614,1.861373,0
4.491748,196.2807,201.8596,1.859628,0
4.501125,196.2842,201.8579,1.857885,0
4.510503,196.2877,201.8561,1.856144,0
4.519880,196.2912,201.8544,1.854404,0
4.529257,196.2947,201.8527,1.852666,0
4.538635,196.2981,201.8509,1.850930,0
4.548012,196.3016,201.8492,1.849195,0
4.557389,196.3051,201.8475,1.847462,0
4.566767,196.3085,201.8457,1.845730,0
4.576144,196.3120,201.8440,1.844000,0
4.585521,196.3155,201.8423,1.842272,0
4.594899,196.3189,201.8405,1.840545,0
4.604276,196.3224,201.8388,1.838820,0
4.613653,196.3258,201.8371,1.837096,0
4.623031,196.3293,201.8354,1.835374,0
4.632408,196.3327,201.8337,1.833654,0
4.641785,196.3361,201.8319,1.831935,0
4.651163,196.3396,201.8302,1.830218,0
4.660540,196.3430,201.8285,1.828503,0
4.669917,196.3464,201.8268,1.826789,0
4.679295,196.3498,201.8251,1.825077,0
4.688672,196.3533,201.8234,1.823366,0
4.698050,196.3567,201.8217,1.821657,0
4.707427,196.3601,201.8199,1.819950,0
4.716804,196.3635,201.8182,1.818244,0
4.726182,196.3669,201.8165,1.816540,0
4.735559,196.3703,201.8148,1.814837,0
4.744936,196.3737,201.8131,1.813136,0
4.754314,196.3771,201.8114,1.811436,0
4.763691,196.3805,201.8097,1.809739,0
4.773068,196.3839,201.8080,1.808042,0
4.782446,196.3873,201.8063,1.806348,0
4.791823,196.3907,201.8047,1.804655,0
4.801200,196.3941,201.8030,1.802963,0
4.810578,196.3975,201.8013,1.801273,0
4.819955,196.4008,201.7996,1.799585,0
4.829332,196.4042,201.7979,1.797898,0
4.838710,196.4076,201.7962,1.796213,0
4.848087,196.4109,201.7945,1.794529,0
4.857464,196.4143,201.7928,1.792847,0
4.866842,196.4177,201.7912,1.791167,0
4.876219,196.4210,201.7895,1.789488,0
4.885596,196.4244,201.7878,1.787811,0
4.894974,196.4277,201.7861,1.786135,0
4.904351,196.4311,201.7845,1.784461,0
4.913728,196.4344,201.7828,1.782788,0
4.923106,196.4378,201.7811,1.781117,0
