t_s,eps_single_pct,eps_mod_pct,sigma_on
4.002801,0.133519,4.460427,0
4.008802,0.130352,4.457742,0
4.014803,0.127260,4.455059,0
4.020804,0.124242,4.452379,0
4.026805,0.121295,4.449701,0
4.032807,0.118418,4.447024,0
4.038808,0.115609,4.444350,0
4.044809,0.112867,4.441678,0
4.050810,0.110190,4.439007,0
4.056811,0.107576,4.436339,0
4.062813,0.105025,4.433672,0
4.068814,0.102534,4.431008,0
4.074815,0.100102,4.428345,0
4.080816,0.097727,4.425684,0
4.086817,0.095409,4.423025,0
4.092819,0.093146,4.420367,0
4.098820,0.090937,4.417712,0
4.104821,0.088780,4.415058,0
4.110822,0.086674,4.412406,0
4.116823,0.084619,4.409756,0
4.122825,0.082611,4.407108,0
4.128826,0.080652,4.404461,0
4.134827,0.078739,4.401817,0
4.140828,0.076871,4.399173,0
4.146829,0.075048,4.396532,0
4.152831,0.073268,4.393892,0
4.158832,0.071530,4.391254,0
4.164833,0.069834,4.388618,0
4.170834,0.068177,4.385983,0
4.176835,0.066560,4.383350,0
4.182837,0.064981,4.380719,0
4.188838,0.063440,4.378090,0
4.194839,0.061935,4.375462,0
4.200840,0.060466,4.372835,0
4.206841,0.059032,4.370211,0
4.212843,0.057632,4.367588,0
4.218844,0.056265,4.364966,0
4.224845,0.054930,4.362347,0
4.230846,0.053628,4.359729,0
4.236847,0.052356,4.357112,0
4.242849,0.051114,4.354497,0
4.248850,0.049901,4.351884,0
4.254851,0.048718,4.349272,0
4.260852,0.047562,4.346663,0
4.266853,0.046434,4.344054,0
4.272855,0.045333,4.341447,0
4.278856,0.044257,4.338842,0
4.284857,0.043208,4.336239,0
4.290858,0.042183,4.333637,0
4.296859,0.041182,4.331036,0
4.302861,0.040206,4.328437,0
4.308862,0.039252,4.325840,0
4.314863,0.038321,4.323244,0
4.320864,0.037412,4.320650,0
4.326865,0.036525,4.318058,0
4.332867,0.035658,4.315467,0
4.338868,0.034812,4.312878,0
4.344869,0.033987,4.310290,0
4.350870,0.033181,4.307704,0
4.356871,0.032394,4.305119,0
4.362873,0.031625,4.302536,0
4.368874,0.030875,4.299954,0
4.374875,0.030143,4.297375,0
4.380876,0.029428,4.294796,0
4.386877,0.028730,4.292219,0
4.392879,0.028048,4.289644,0
4.398880,0.027383,4.287070,0
4.404881,0.026734,4.284498,0
4.410882,0.026100,4.281928,0
4.416883,0.025480,4.279359,0
4.422885,0.024876,4.276791,0
4.428886,0.024286,4.274225,0
4.434887,0.023710,4.271661,0
4.440888,0.023148,4.269098,0
4.446889,0.022599,4.266537,0
4.452891,0.022063,4.263977,0
4.458892,0.021539,4.261419,0
4.464893,0.021028,4.258862,0
4.470894,0.020530,4.256307,0
4.476895,0.020043,4.253753,0
4.482897,0.019567,4.251201,0
4.488898,0.019103,4.248651,0
4.494899,0.018650,4.246102,0
4.500900,0.018208,4.243554,0
4.506901,0.017776,4.241008,0
4.512903,0.017354,4.238464,0
4.518904,0.016943,4.235921,0
4.524905,0.016541,4.233380,0
4.530906,0.016148,4.230840,0
4.536907,0.015765,4.228301,0
4.542909,0.015391,4.225765,0
4.548910,0.015026,4.223229,0
4.554911,0.014670,4.220696,0
4.560912,0.014322,4.218163,0
4.566913,0.013982,4.215633,0
4.572915,0.013651,4.213104,0
4.578916,0.013327,4.210576,0
4.584917,0.013011,4.208050,0
4.590918,0.012702,4.205525,0
4.596919,0.012401,4.203002,0
4.602921,0.012107,4.200481,0
4.608922,0.011820,4.197961,0
4.614923,0.011539,4.195442,0
4.620924,0.011266,4.192925,0
4.626925,0.010998,4.190409,0
4.632927,0.010737,4.187895,0
4.638928,0.010483,4.185383,0
4.644929,0.010234,4.182872,0
4.650930,0.009991,4.180362,0
4.656931,0.009754,4.177854,0
4.662933,0.009523,4.175348,0
4.668934,0.009297,4.172843,0
4.674935,0.009077,4.170340,0
4.680936,0.008861,4.167838,0
4.686937,0.008651,4.165337,0
4.692939,0.008446,4.162838,0
4.698940,0.008246,4.160341,0
4.704941,0.008050,4.157845,0
4.710942,0.007859,4.155350,0
4.716943,0.007673,4.152857,0
